id,youtube_id,zenodo_id,title,doi,zenodo_link,youtube_link
131,dFMAvIQPrcw,15202695,On ANGER!: Understanding our emotions from a spiritual standpoint to transform ourselves,10.5281/zenodo.15202695,https://zenodo.org/record/15202695,https://www.youtube.com/watch?v=dFMAvIQPrcw
132,8yIxP3sonKw,15202718,Teachings on the Truth of Mother Kali -- short answers from Acharya Sthaneshwar,10.5281/zenodo.15202718,https://zenodo.org/record/15202718,https://www.youtube.com/watch?v=8yIxP3sonKw
133,pDeIBZfdNtU,15202726,The different stages of meditation explained succinctly by a Hindu Tantra meditation expert,10.5281/zenodo.15202726,https://zenodo.org/record/15202726,https://www.youtube.com/watch?v=pDeIBZfdNtU
134,wWCrqJ6OltQ,15202733,A Message of Gratitude from Acharya Sthaneshwar for your Giving Season Support,10.5281/zenodo.15202733,https://zenodo.org/record/15202733,https://www.youtube.com/watch?v=wWCrqJ6OltQ
135,7ZhVl_ph4es,15202748,Acharya Sthaneshwar's Message for Giving Tuesday,10.5281/zenodo.15202748,https://zenodo.org/record/15202748,https://www.youtube.com/watch?v=7ZhVl_ph4es
136,xku1FCjPMQw,15202750,Shiva Nirvana Stotram (with lyrics) -- Devotional Song recited by Acharya Sthaneshwar,10.5281/zenodo.15202750,https://zenodo.org/record/15202750,https://www.youtube.com/watch?v=xku1FCjPMQw
137,vWycXigahEk,15202752,Diwali Community Event Keynote Address - Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202752,https://zenodo.org/record/15202752,https://www.youtube.com/watch?v=vWycXigahEk
138,T6kfV6GqxDg,15202836,Tripurā in the Trika & Sarvāmnāya Tantric Traditions -- talk by Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202836,https://zenodo.org/record/15202836,https://www.youtube.com/watch?v=T6kfV6GqxDg
139,AiPGwotnkVc,15202884,Panpsychism & Puruṣavāda (pre-Śaṅkara Advaita Philosophy) - talk by Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202884,https://zenodo.org/record/15202884,https://www.youtube.com/watch?v=AiPGwotnkVc
140,S2iadhL5MBs,15202891,What is the State of Consciousness of a Teacher of Non-Dual Wisdom? -- Acharya Sthaneshwar,10.5281/zenodo.15202891,https://zenodo.org/record/15202891,https://www.youtube.com/watch?v=S2iadhL5MBs
141,3EHEDK8TVKI,15202893,Tripurā in the Trika & Sarvāmnāya Tantric Traditions -- talk by Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202893,https://zenodo.org/record/15202893,https://www.youtube.com/watch?v=3EHEDK8TVKI
142,4o28jbNrU4k,15202925,"Shakta Tantric Hinduism, Vajrayana Buddhism & Jainism: The Goddess Unites Across Dharma Traditions",10.5281/zenodo.15202925,https://zenodo.org/record/15202925,https://www.youtube.com/watch?v=4o28jbNrU4k
143,Z3qDGTPyrAU,15202934,Goddess Durgā's Triumph in the Hindu Pantheon - Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202934,https://zenodo.org/record/15202934,https://www.youtube.com/watch?v=Z3qDGTPyrAU
144,ujAYZ2dvms0,15202944,Reflections on the Importance of Navaratri - Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202944,https://zenodo.org/record/15202944,https://www.youtube.com/watch?v=ujAYZ2dvms0
